CANMOREID,NMRSNAME,ALTNAME,SITETYPE,COUNTY,COUNCIL,PARISH,ACCURACY,URL,LINK,XCOORD,YCOORD,archaeology,EX,EV,WB,EXC_19C,EXC_1900_1950,EXC_1951_1999,EXC_post2000,NOTES,REFS
10290,"NORTH UIST, EILEANN SCALASTER","EILEANN SCALASTER, BALESHARE, CARINISH",DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/10290/,https://canmore.org.uk/site/10290/,80939,861141,['excavation'],0,0,0,,,,,,
9703,"BARRA, DUN CHLIF","DUN CLIEFF, DUNAN RUADH NA CHLIF, DUN CHLIOBH","BROCH (IRON AGE)(POSSIBLE), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,BARRA,NGR given to the nearest 10m,https://canmore.org.uk/site/9703/,https://canmore.org.uk/site/9703/,68190,805280,None,0,0,0,,,,,,
9705,"BARRA, EOLIGARRY, DUN SCURRIVAL",DUN SGURABHAL,"BROCH (IRON AGE)(POSSIBLE), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,BARRA,NGR given to the nearest 10m,https://canmore.org.uk/site/9705/,https://canmore.org.uk/site/9705/,69540,808100,"['excavation', 'trench', 'dug']",0,0,0,,,,,"A [robber] trench has been dug at some time in the past. Finds from the site are illustrated in Young 1958: 292, fig 2","Young, A.ˇ(1958a)ˇ'Excavations at Dun Cuier, Isle of Barra', Proc Soc Antiq Scot, vol. 89, 1955-6. Page(s): 290-328 figs. 1-16, plans figs. 3-4, 6a; "
9866,"SOUTH UIST, DALIBURGH, DUN RUADH",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9866/,https://canmore.org.uk/site/9866/,73790,821840,"['excavated', 'excavations']",0,0,0,,,,,,
9867,"SOUTH UIST, GARRAHELLIE, LOCH AN DUIN","GARRYHEILLIE, GEARRAIDH SHEILIDH",DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/9867/,https://canmore.org.uk/site/9867/,74480,822320,None,0,0,0,,,,,,
9868,"SOUTH UIST, ASKERNISH, LOCH AN EILEIN",AISGEIRNIS,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9868/,https://canmore.org.uk/site/9868/,74510,823720,None,0,0,0,,,,,,
9879,"SOUTH UIST, LOCH DRUIDIBEG, DUN RAOUILL","DUN RAGHAILL, DUN RAGHNAILL",DUN (MEDIEVAL),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9879/,https://canmore.org.uk/site/9879/,77850,837110,None,0,0,0,,,,,,
9881,"SOUTH UIST, LOCH DRUIDIBEG, DUN BUIDHE",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/9881/,https://canmore.org.uk/site/9881/,77455,838843,None,0,0,0,,,,,,
9894,"SOUTH UIST, ORMICLATE, LOCH CEANN A' BHAIGH",LOCH CEAM A' BHAIGH,"CRANNOG (PERIOD UNASSIGNED)(POSSIBLE), DUN (PERIOD UNASSIGNED)(POSSIBLE)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 1km,https://canmore.org.uk/site/9894/,https://canmore.org.uk/site/9894/,76000,830000,['evaluation'],0,0,0,,,,,,
9733,"BARRA, LOCH AN DUIN",,"BROCH (IRON AGE)(POSSIBLE), CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,BARRA,NGR given to the nearest 10m,https://canmore.org.uk/site/9733/,https://canmore.org.uk/site/9733/,69320,803160,None,0,0,0,,,,,,
9738,"BARRA, DUN BORVE",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,BARRA,NGR given to the nearest 10m,https://canmore.org.uk/site/9738/,https://canmore.org.uk/site/9738/,65460,801370,None,0,0,0,,,,,,
9740,"BARRA, DUN NA CILLE",,"BROCH (IRON AGE)(POSSIBLE), DUN (PREHISTORIC)(POSSIBLE)",INVERNESS-SHIRE,WESTERN ISLES,BARRA,NGR given to the nearest 10m,https://canmore.org.uk/site/9740/,https://canmore.org.uk/site/9740/,64770,801670,['excavation'],0,0,0,,,,,,
10160,"SOUTH UIST, DUN FHEARCHAIR",,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10160/,https://canmore.org.uk/site/10160/,80100,848900,None,0,0,0,,,,,,
10162,"SOUTH UIST, LOCH DRUIM AN IASGAIR",,DUN (MEDIEVAL),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10162/,https://canmore.org.uk/site/10162/,80360,843480,None,0,0,0,,,,,,
10167,"NORTH UIST, LOCH OBISARY 1",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10167/,https://canmore.org.uk/site/10167/,88480,859970,None,0,0,0,,,,,,
10169,"NORTH UIST, EILEAN NA H-IOLAIRE I",NF58NE 13,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/10169/,https://canmore.org.uk/site/10169/,89762,858527,None,0,0,0,,,,,,
10170,"NORTH UIST, EILEAN NA H-IOLAIRE 2",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/10170/,https://canmore.org.uk/site/10170/,89488,858584,None,0,0,0,,,,,,
10176,"NORTH UIST, CLADDACH-CARINISH, DUN CHEREIN",,"BLACKHOUSE (POST MEDIEVAL), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10176/,https://canmore.org.uk/site/10176/,85780,858550,None,0,0,0,,,,,,
10178,"NORTH UIST, LOCH NAN GEALAG",CAILTERNISH,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10178/,https://canmore.org.uk/site/10178/,86500,859390,None,0,0,0,,,,,,
10179,"NORTH UIST, EAVAL, LOCH DUN AN T-SIAMAIN, DUN AN T-SIAMAIN",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/10179/,https://canmore.org.uk/site/10179/,88587,859495,None,0,0,0,,,,,,
9900,"SOUTH UIST, STONEYBRIDGE, DUN NAN GALLAN",,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9900/,https://canmore.org.uk/site/9900/,73860,833570,None,0,0,0,,,,,,
9901,"SOUTH UIST, STONEYBRIDGE, DUN ALTABRUG",,"CAUSEWAY (PREHISTORIC), CRANNOG (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9901/,https://canmore.org.uk/site/9901/,74900,834390,None,0,0,0,,,,,,
9915,"SOUTH UIST, ARDKENNETH, LOCH AN DUIN MHOR",,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9915/,https://canmore.org.uk/site/9915/,75930,846710,None,0,0,0,,,,,,
9916,"SOUTH UIST, CLACHAN, ARDNAMONIE","CLACHAN, ARD NA MONADH","BUILDING(S) (POST MEDIEVAL), CAIRN (PREHISTORIC), DUN (PREHISTORIC)(POSSIBLE)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/9916/,https://canmore.org.uk/site/9916/,77236,846253,['excavation'],0,0,0,,,,,,
9919,"SOUTH UIST, ARDNAMONIE, DUN UISELAN",LOCH UISELAN,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9919/,https://canmore.org.uk/site/9919/,77760,845360,None,0,0,0,,,,,,
9920,"SOUTH UIST, ARDNAMONIE, DUN LOCHAN NAN CARRANAN",,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/9920/,https://canmore.org.uk/site/9920/,78393,845848,None,0,0,0,,,,,,
9921,"SOUTH UIST, ARDMORE, LOCH AN DAILL",CARNAN,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9921/,https://canmore.org.uk/site/9921/,79690,845920,['evaluation'],0,0,0,,,,,,
9922,"BENBECULA, GUNISARY BAY",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9922/,https://canmore.org.uk/site/9922/,79850,849160,['evaluation'],0,0,0,,,,,,
9924,"SOUTH UIST, WEST GERINISH, LOCH CILLE BHANAIN",WEST GEIRNISH,"CHAPEL (MEDIEVAL)(POSSIBLE), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9924/,https://canmore.org.uk/site/9924/,76850,841380,['excavations'],0,0,0,,,,,,
10180,"GRIMSAY, LOCH CARAVAT, DUN BAN",,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10180/,https://canmore.org.uk/site/10180/,85970,856650,None,0,0,0,,,,,,
10181,"GRIMSAY, LOCH HORNARY",NF85NE 7,DUN (PERIOD UNASSIGNED)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10181/,https://canmore.org.uk/site/10181/,86530,857200,None,0,0,0,,,,,,
10183,"GRIMSAY, LOCH A' MHUILINN",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10183/,https://canmore.org.uk/site/10183/,87370,855530,None,0,0,0,,,,,,
10184,"RONAY, LOCH NA SRUTHAN BEAG",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10184/,https://canmore.org.uk/site/10184/,89720,855200,None,0,0,0,,,,,,
10188,"BENBECULA, UACHDAR, LOCH AN DUIN",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10188/,https://canmore.org.uk/site/10188/,80030,855580,None,0,0,0,,,,,,
10191,"GRIMSAY, LOCH AN FHAING",,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10191/,https://canmore.org.uk/site/10191/,84560,857570,['evaluation'],0,0,0,,,,,,
10200,"BENBECULA, LOCH OLAVAT, EILEAN AN DUIN",,DUN (PERIOD UNASSIGNED)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10200/,https://canmore.org.uk/site/10200/,81210,854860,None,0,0,0,,,,,,
10202,"BENBECULA, HACKLETT, LOCH NA BEIRE",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10202/,https://canmore.org.uk/site/10202/,83230,854210,None,0,0,0,,,,,,
10206,"BENBECULA, LOCH HERMIDALE",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10206/,https://canmore.org.uk/site/10206/,82620,852360,None,0,0,0,,,,,,
10207,"BENBECULA, LOCH OLAVAT, DUN MHIC UISDEIN",LOCH OLABHAT,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10207/,https://canmore.org.uk/site/10207/,80010,850640,None,0,0,0,,,,,,
10210,"NORTH UIST, LOCH SCADAVAY",AIRD SMEILISH,"BUILDING (PERIOD UNKNOWN), DUN (PREHISTORIC), SHIELING HUT(S) (POST MEDIEVAL)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10210/,https://canmore.org.uk/site/10210/,87130,868350,None,0,0,0,,,,,,
10211,"NORTH UIST, LOCH DEORAVAT",,DUN (PERIOD UNASSIGNED)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10211/,https://canmore.org.uk/site/10211/,88890,866090,None,0,0,0,,,,,,
5489,MUIE,,DUN (PERIOD UNASSIGNED),SUTHERLAND,HIGHLAND,ROGART,NGR given to the nearest 10m,https://canmore.org.uk/site/5489/,https://canmore.org.uk/site/5489/,267190,904570,None,0,0,0,,,,,,
9943,"SOUTH UIST, WEST GERINISH, LOCH AN DUIN MHOIR, DUN MOR","GEIRNISH, LOCH AN DUN MHOR","CAUSEWAY (MEDIEVAL), DUN (MEDIEVAL)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9943/,https://canmore.org.uk/site/9943/,77550,841490,None,0,0,0,,,,,,
9959,"BENBECULA, LOCH DUN MHURCAIDH, DUN BUIDHE",KNOCK ROLUM,"BROCH (IRON AGE)(POSSIBLE), BUILDING(S) (MEDIEVAL), CAUSEWAY(S) (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9959/,https://canmore.org.uk/site/9959/,79420,854580,['excavation'],0,0,0,,,,,,
9960,"BENBECULA, CNOC-NA-MONADH, DUN SHUNISH",KNOCKAMONIE,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9960/,https://canmore.org.uk/site/9960/,78070,850860,None,0,0,0,,,,,,
9961,"BENBECULA, CNOC-NA-MONADH, LOCH AN DUNAIN",KNOCKAMONIE,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9961/,https://canmore.org.uk/site/9961/,77860,851290,None,0,0,0,,,,,,
9973,"BENBECULA, DUN TORCUSAY",,GALLERIED DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9973/,https://canmore.org.uk/site/9973/,76180,853130,None,0,0,0,,,,,,
9974,"BENBECULA, EILEAN IAIN",,"BUILDING(S) (MEDIEVAL), CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC), NAUST (MEDIEVAL)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9974/,https://canmore.org.uk/site/9974/,78890,853510,None,0,0,0,,,,,,
9975,"BENBECULA, DUN BOROSDALE",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9975/,https://canmore.org.uk/site/9975/,78140,852850,None,0,0,0,,,,,,
9976,"BENBECULA, LOCH OLAVAT, DUN RUADH",LOCH OLABHAT,"BUILDING (MEDIEVAL), CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/9976/,https://canmore.org.uk/site/9976/,79866,851066,None,0,0,0,,,,,,
10233,"NORTH UIST, LOCH HUNA, DUN BAN",,"BUTTS(S) (POST MEDIEVAL), CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC), FARMSTEAD (MEDIEVAL), FORTIFIED ISLAND (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10233/,https://canmore.org.uk/site/10233/,81270,866920,None,0,0,0,,,,,,
10240,"NORTH UIST, LOCH NAN GARBH CHLACHAN, DUN BAN",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 1m,https://canmore.org.uk/site/10240/,https://canmore.org.uk/site/10240/,86089,860114,None,0,0,0,,,,,,
10241,"NORTH UIST, LOCH NA CEITHIR-EILEANA",,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10241/,https://canmore.org.uk/site/10241/,86380,862600,None,0,0,0,,,,,,
10242,"NORTH UIST, BREINISH, LOCH AN DUIN, DUN NIGHEAN RIGH LOCHLAINN",,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10242/,https://canmore.org.uk/site/10242/,86370,863990,None,0,0,0,,,,,,
11125,"SKYE, LON RUADH",DUN NEAR CAISTEIL UISDEAN,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,HIGHLAND,SNIZORT,NGR given to the nearest 10m,https://canmore.org.uk/site/11125/,https://canmore.org.uk/site/11125/,138450,858290,None,0,0,0,,,,,,
11134,"DUN BORVE, CUIDRACH, SKYE",,DUN (PREHISTORIC),INVERNESS-SHIRE,HIGHLAND,SNIZORT,NGR given to the nearest 1m,https://canmore.org.uk/site/11134/,https://canmore.org.uk/site/11134/,138011,859767,"['excavation', 'excavated', 'trench']",0,0,0,,,,,,
11772,"DUN GRUGAIG, GLENELG",CAISTEAL CHONIL,DUN (PERIOD UNASSIGNED),INVERNESS-SHIRE,HIGHLAND,GLENELG (SKYE AND LOCHALSH),NGR given to the nearest 1m,https://canmore.org.uk/site/11772/,https://canmore.org.uk/site/11772/,185142,815910,['excavated'],0,0,0,,,,,,
11776,CASTLE CHALAMINE,,DUN (PERIOD UNASSIGNED),INVERNESS-SHIRE,HIGHLAND,GLENELG (SKYE AND LOCHALSH),NGR given to the nearest 10m,https://canmore.org.uk/site/11776/,https://canmore.org.uk/site/11776/,181490,817490,None,0,0,0,,,,,,
10830,"SKYE, FIADHAIRT",,DUN (PERIOD UNASSIGNED)(POSSIBLE),INVERNESS-SHIRE,HIGHLAND,DUIRINISH,NGR given to the nearest 10m,https://canmore.org.uk/site/10830/,https://canmore.org.uk/site/10830/,123370,849100,None,0,0,0,,,,,,
10836,"SKYE, DUN CHAICH",,DUN (PREHISTORIC),INVERNESS-SHIRE,HIGHLAND,DUIRINISH,NGR given to the nearest 10m,https://canmore.org.uk/site/10836/,https://canmore.org.uk/site/10836/,124310,847730,None,0,0,0,,,,,,
10838,"SKYE, CNOC A'SGA",,"DUN (PREHISTORIC), SHIELING HUT (POST MEDIEVAL)",INVERNESS-SHIRE,HIGHLAND,DUIRINISH,NGR given to the nearest 10m,https://canmore.org.uk/site/10838/,https://canmore.org.uk/site/10838/,125640,844750,None,0,0,0,,,,,,
10341,"NORTH UIST, DUN SKELLOR",DUNSKELLOR,"BROCH (IRON AGE)(POSSIBLE), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10341/,https://canmore.org.uk/site/10341/,80750,875070,None,0,0,0,,,,,,
10342,"NORTH UIST, DUN NA MAIRBHE",,"BROCH (IRON AGE)(POSSIBLE), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10342/,https://canmore.org.uk/site/10342/,86280,874720,None,0,0,0,,,,,,
10344,"NORTH UIST, CLETT",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 100m,https://canmore.org.uk/site/10344/,https://canmore.org.uk/site/10344/,85300,874600,None,0,0,0,,,,,,
11779,"AN DUN, BARNHILL",,DUN (PERIOD UNASSIGNED),INVERNESS-SHIRE,HIGHLAND,GLENELG (SKYE AND LOCHALSH),NGR given to the nearest 10m,https://canmore.org.uk/site/11779/,https://canmore.org.uk/site/11779/,182440,819720,None,0,0,0,,,,,,
9788,"SOUTH UIST, EILEAN BUIDHE, DUN NA KILLIE",LOCH DUN NA CILLE,"CAUSEWAY (MEDIEVAL), CHAPEL (MEDIEVAL)(POSSIBLE), DUN (MEDIEVAL)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9788/,https://canmore.org.uk/site/9788/,74610,819050,['evaluation'],0,0,0,,,,,,
9794,"SOUTH UIST, EILEAN CHREAMH",LOCH DUN NA CILLE,"CAUSEWAY (PREHISTORIC), DUN (PREHISTORIC)",INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9794/,https://canmore.org.uk/site/9794/,74270,819190,['evaluation'],0,0,0,,,,,,
9795,"SOUTH UIST, DUN AN DUICHAL",DUN AN DUICHEL,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9795/,https://canmore.org.uk/site/9795/,74310,818850,None,0,0,0,,,,,,
9798,"SOUTH UIST, SMERCLETE, LOCH AN DUIN",SMERCLETT,DUN (PREHISTORIC),INVERNESS-SHIRE,WESTERN ISLES,SOUTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/9798/,https://canmore.org.uk/site/9798/,74640,815220,None,0,0,0,,,,,,
11477,"SKYE, DUNAN AN AISILIDH",AN AIRD,"BROCH (IRON AGE)(POSSIBLE), DUN (PREHISTORIC)(POSSIBLE)",INVERNESS-SHIRE,HIGHLAND,PORTREE,NGR given to the nearest 1m,https://canmore.org.uk/site/11477/,https://canmore.org.uk/site/11477/,153206,835713,None,0,0,0,,,,,,
10349,"NORTH UIST, LOCH FADA",,DUN (PREHISTORIC)(POSSIBLE),INVERNESS-SHIRE,WESTERN ISLES,NORTH UIST,NGR given to the nearest 10m,https://canmore.org.uk/site/10349/,https://canmore.org.uk/site/10349/,87230,871540,None,0,0,0,,,,,,
